Module;Fun;CC;Volume;Difficulty;Effort;Cognitive;UCM
hd_tl_to;constrained_keys;1;140.55415752892034;7.125;1001.4483723935574;6;91
hd_tl_to;parse_preprocessed_file;350;742.8000125959138;13.742857142857144;10208.19445881813;225;279
hd_tl_to;build_function;1;127.43782540330756;6.125;780.5566805952587;16;86
hd_tl_to;cluster_split;55;782.7630170411262;16.15909090909091;12648.738752641835;58;375
hd_tl_to;find_cycle;7;140.1816079436383;10.555555555555555;1479.6947505161822;13;96
hd_tl_from;constrained_keys;1;118.94197037642039;5.541666666666666;659.136752502663;12;117
hd_tl_from;parse_preprocessed_file;350;714.875200092308;13.742857142857144;9824.427749840004;252;305
hd_tl_from;build_function;1;105.48604608143;2.875;303.2723824841113;25;140
hd_tl_from;cluster_split;55;694.6912823032428;17.775000000000002;12348.137542940143;76;382
hd_tl_from;find_cycle;7;114.4489595550095;8.444444444444445;966.4578806867469;13;104

