Module;Fun;CC;Volume;Difficulty;Effort;Cognitive;UCM
length_elim_from;find;3;417.82238611206157;9.29032258064516;3881.7047483959263;74;162
length_elim_from;number_to_hex;2;125.33591475173351;4.285714285714286;537.1539203645722;36;83
length_elim_from;wait_for_port_reply;19;354.12194866377064;13.125;4647.850576211989;1;123
length_elim_from;type;1;362.1069984276074;12.541666666666668;4541.425271946243;3;152
length_elim_from;lengthelim5;3;158.12342722003538;7.0;1106.8639905402476;36;162
length_elim_to;find;3;409.78846330632695;9.642857142857142;3951.531610453867;98;143
length_elim_to;number_to_hex;2;136.16184010614157;6.375;868.0317306766525;36;71
length_elim_to;wait_for_port_reply;19;356.72482509951953;12.409090909090908;4426.630784189492;1;111
length_elim_to;type;1;364.6617355940265;12.17391304347826;4439.360259405539;3;140
length_elim_to;lengthelim5;3;144.94647495169912;9.09090909090909;1317.695226833628;63;104

