Module;Fun;CC;Volume;Difficulty;Effort;Cognitive;UCM
case_in_case_from;caseincase1;3;242.8990497563786;7.6499999999999995;1858.177730636296;63;79
case_in_case_from;caseincase2;3;218.26124091941205;6.222222222222221;1358.0699434985636;81;111
case_in_case_from;caseincase3;6;510.90509710918684;12.518518518518517;6395.774919366857;936;235
case_in_fun_from;union;2;87.56842503028855;7.857142857142858;688.0376252379815;9;58
case_in_fun_from;add_conflict;4;499.26318772716417;16.799999999999997;8387.621553816356;3;106
case_in_fun_from;filter_outcome;5;53.150849518197795;2.7857142857142856;148.06308080069385;3;26
case_in_fun_from;match_spec_to_frag_numbers;13;340.86001036377274;12.69047619047619;4325.675845806925;212;167
case_in_fun_from;parse_rules;13;505.5831690142995;14.142857142857142;7150.390533202235;153;195
case_in_if_from;caseinif1;4;242.8990497563786;8.823529411764707;2143.2269096151053;24;78
case_in_if_from;caseinif2;6;461.63547152504697;18.0;8309.438487450845;60;197
case_in_if_from;caseinif3;17;2159.73967028018;23.07142857142857;49828.279535749854;1482;711
if_in_case_from;ifincase1;4;260.0652015672515;10.666666666666666;2774.0288167173494;117;144
if_in_case_from;ifincase2;4;396.4588483417382;11.172413793103448;4429.402305611144;153;171
if_in_case_from;ifincase3;3;108.04820237218406;7.0;756.3374166052885;27;44
if_in_case_from;ifincase4;7;834.7616706421105;26.410714285714285;22046.651979994313;180;273
if_in_case_from;ifincase5;3;106.19818783608963;5.3999999999999995;573.470214314884;18;38
if_in_fun_to;pick_node;13;387.64435705307295;16.823529411764707;6521.5462421869925;12;100
if_in_fun_to;log_master_nodes;6;723.5866162434687;13.2;9551.343334413787;116;189
if_in_fun_to;dirty_sticky_lock;4;152.29419688230416;4.5;685.3238859703688;6;45
if_in_fun_to;is_digits;10;82.45413751658658;4.642857142857143;382.8227813270092;6;48
if_in_fun_to;insert_rec;3;111.01319154423277;2.4545454545454546;272.4869246994804;6;47
if_in_if_from;ifinif1;9;460.74025686597935;7.304347826086956;3365.407093629762;4;128
if_in_if_from;ifinif2;6;227.43101255050217;7.466666666666667;1698.151560377083;30;94
if_in_fun_from;pick_node;13;360.0;15.166666666666666;5460.0;18;101
if_in_fun_from;log_master_nodes;6;688.7690176080271;13.200000000000001;9091.751032425958;114;189
if_in_fun_from;dirty_sticky_lock;4;100.0;3.1666666666666665;316.66666666666663;6;40
if_in_fun_from;is_digits;10;81.40967379910403;5.571428571428571;453.5681825950081;12;31
if_in_fun_from;insert_rec;3;82.0447025077789;2.25;184.6005806425025;6;45
case_in_if_to;caseinif1;4;235.5603911808226;9.0;2120.0435206274033;18;79
case_in_if_to;caseinif2;6;512.9283016944967;20.68181818181818;10608.289875954362;54;251
case_in_if_to;caseinif3;17;2300.948795460614;27.107142857142858;62372.14770552164;1449;796
case_in_case_to;caseincase1;3;276.9049167222716;7.875;2180.6262191878886;27;118
case_in_case_to;caseincase2;3;264.6998028171593;6.611111111111111;1749.959807513442;45;94
case_in_case_to;caseincase3;6;596.0559466273846;13.722222222222223;8179.212156498001;315;262
case_in_fun_to;union;2;64.72503367497927;5.0;323.62516837489636;6;27
case_in_fun_to;add_conflict;4;522.6857250822118;15.0;7840.285876233176;2;90
case_in_fun_to;filter_outcome;5;75.0;1.4285714285714286;107.14285714285714;2;25
case_in_fun_to;match_spec_to_frag_numbers;13;376.4722502525251;14.238095238095239;5360.247753595477;82;167
case_in_fun_to;parse_rules;13;585.4120904376099;17.357142857142858;10161.081284024229;102;194
if_in_case_to;ifincase1;4;142.62362713128297;7.0;998.3653899189808;27;81
if_in_case_to;ifincase2;4;399.1446071165522;11.785714285714285;4704.204298159365;108;243
if_in_case_to;ifincase3;3;103.72627427729671;7.0;726.0839199410769;18;57
if_in_case_to;ifincase4;7;856.152103188837;28.285714285714285;24216.87377591282;135;283
if_in_case_to;ifincase5;3;100.07820003461549;5.5;550.4301001903852;9;38
if_in_if_to;ifinif1;9;484.2618354584115;9.347826086956522;4526.795418415586;2;134
if_in_if_to;ifinif2;6;253.31946953919274;9.333333333333334;2364.3150490324656;18;105

